category,theme
THEIR FIRST TOP 40 SOLO ALBUM,MUSIC
MOTIVATION,POTPOURRI & GENERAL
WHAT THE 20th CENTURY KIDS WERE SAYIN',HISTORY
"YOU GO, SISTER!",POTPOURRI & GENERAL
IN THE STARS,SCIENCE
NAME CHANGERS,POTPOURRI & GENERAL
YOU GET A P+,POTPOURRI & GENERAL
"CULTURE, IN THE POPULAR SENSE",MUSIC
SOUND,POTPOURRI & GENERAL
ADVICE,POTPOURRI & GENERAL
IT HAPPENED ONE LEAP YEAR,TECHNOLOGY
GERMAN NOBEL LITERATURE LAUREATES,LITERATURE
"ONE VOWEL, 3 TIMES",WORDPLAY
YOU SEEM DISTANT,POTPOURRI & GENERAL
FROM THE MOVIE SOUNDTRACK,MOVIES & TV
GUYS NAMED RICHARD,POTPOURRI & GENERAL
UNESCO WORLD HERITAGE SITES,GEOGRAPHY
SURGERY,POTPOURRI & GENERAL
SPORTS MASCOTS,SPORTS
EPONYMOUS CAPITAL CITY AIRPORTS,GEOGRAPHY
DEFINITIONS OF LEGAL TERMS,POTPOURRI & GENERAL
"""GREEN"" DAY",POTPOURRI & GENERAL
WANNA BE AN AMERICAN IDIOM,LANGUAGE & WORDS
REMEMBRANCE OF THINGS PAST,POTPOURRI & GENERAL
MAGICIANS,POTPOURRI & GENERAL
"""S"" IS FOR SMALL",POTPOURRI & GENERAL
"COUNTRY, MUSIC",GEOGRAPHY
A LITERARY CATEGORY,POTPOURRI & GENERAL
POP CULTURE GEMS,MUSIC
TIME,WORDPLAY
TITLES,POTPOURRI & GENERAL
TRIPLE TALK SONGS,MUSIC
THE MIDDLE AGES,POTPOURRI & GENERAL
AROUND THE HOUSE,POTPOURRI & GENERAL
"""B"" & ""B""",POTPOURRI & GENERAL
LAST LINES OF THE CHILDREN'S BOOK,LITERATURE
SUBTITLES,POTPOURRI & GENERAL
CREATURES OF THE EARTH,ART & CULTURE
OUTDOOR ART,ART & CULTURE
HISTORICAL MOVIES & TV,HISTORY
IN THE DICTIONARY,LANGUAGE & WORDS
RUSSIAN BODIES OF WATER,POTPOURRI & GENERAL
BORN & DIED,POTPOURRI & GENERAL
AMERICA: A LOOK BACK,POTPOURRI & GENERAL
ADJECTIVES,POTPOURRI & GENERAL
ARTIFICIAL INTELLIGENCE ON FILM,MOVIES & TV
"""J"" STORE",POTPOURRI & GENERAL
THE HIGHEST POPULATION IN THE STATE,GEOGRAPHY
SEEK & YE SHALL FIND,POTPOURRI & GENERAL
PEOPLES OF THE WORLD,GEOGRAPHY
AN ABUNDANCE OF CAUTION,ART & CULTURE
GEOLOGIC TIME DIVISIONS ASFRIENDSEPISODE TITLES,WORDPLAY
FACTS ABOUT AUTHORS,LITERATURE
MIDCENTURY MUSIC,HISTORY
"THAT'S ""SUPER""",POTPOURRI & GENERAL
WORLD NEWS 2024,HISTORY
TAKE ME TO YOUR COMPANY LEADER,BUSINESS & ECONOMICS
TV SHOWS BY EPISODE TITLES,MOVIES & TV
18th CENTURY AVIATION,HISTORY
NO TIME TO SAY THE WHOLE WORD,LANGUAGE & WORDS
AT THE CEMETERY,POTPOURRI & GENERAL
THAT'S THE END OF THE LINE,POTPOURRI & GENERAL
ALMA MATERS,POTPOURRI & GENERAL
GEOMETRY,POTPOURRI & GENERAL
"STARTS WITH ""U-N""",SCIENCE
PLAYS & PLAYWRIGHTS,LITERATURE
U.S. HISTORY,HISTORY
A + (DIRECTOR'S NAME) + (WORD FOR A MOVIE),MOVIES & TV
NFL GEOGRAPHY,GEOGRAPHY
THIS GENERATION IS SO BOOKED,LITERATURE
COMMON BONDS,POTPOURRI & GENERAL
CANADIAN HISTORY,HISTORY
THE HOLLYWOOD SCENE,MOVIES & TV
"""S"" TO ""P""",POTPOURRI & GENERAL
AMERICANA,POTPOURRI & GENERAL
ALL THE KINGS' MENUS,POTPOURRI & GENERAL
NAME THE 5-LETTER SONG,MUSIC
OUR CHEMISTRY IS PALPABLE,SCIENCE
COUNTRY NAMES,GEOGRAPHY
GRAMMAR POLICE,LANGUAGE & WORDS
DRAMA,MOVIES & TV
COUNTRIES OF THE WORLD,GEOGRAPHY
THE SOMETHING OF THE SOMETHING,POTPOURRI & GENERAL
"3 WORDS, 3 SYLLABLES",LANGUAGE & WORDS
ON A STAMP,POTPOURRI & GENERAL
CONTAINED THEREIN,TECHNOLOGY
TRASH TALK,POTPOURRI & GENERAL
"20th CENTURY SONG, 21st CENTURY AD",HISTORY
BOOK TITLE TATTLE,LITERATURE
PLANTS & TREES,SCIENCE
NAVAL HISTORY,HISTORY
OLD TESTAMENT NAMES,POTPOURRI & GENERAL
NATIONAL MONUMENTS,GEOGRAPHY
FIRST LINES OF HIT SONGS,MUSIC
BESTSELLING NONFICTION,LITERATURE
THE EARLY 21st CENTURY,HISTORY
A BARREL OF MONKEYS,POTPOURRI & GENERAL
"""AMP""ED UP",POTPOURRI & GENERAL
YOU PUT ME ON THE SUPREME COURT,POLITICS & GOVERNMENT
THE DESERT MENU,POTPOURRI & GENERAL
A CATEGORY GOOD,POTPOURRI & GENERAL
ROYAL ROLES,POTPOURRI & GENERAL
THE NAME ON THE DISEASE,POTPOURRI & GENERAL
"""L.O.""",POTPOURRI & GENERAL
SAILOR,TECHNOLOGY
WOMEN OF HISTORY,HISTORY
WE ARE REALLY GOING TO STUMP YOU,POTPOURRI & GENERAL
ON GUARD,POTPOURRI & GENERAL
KNIVES OUT,POTPOURRI & GENERAL
PICTURE THE HIT SONG,MUSIC
2 E OR NOT 2 E,POTPOURRI & GENERAL
THAT IS THE QUESTION,POTPOURRI & GENERAL
TRICK OR TREATY,POTPOURRI & GENERAL
AUTHORS' HOMES,LITERATURE
JESUS HAD A DAY,POTPOURRI & GENERAL
FUN AROUND THE U.S.,POTPOURRI & GENERAL
BIG BOX OFFICE ENERGY,POTPOURRI & GENERAL
RHYME TIME,LANGUAGE & WORDS
SOUTH AMERICAN CITIES,GEOGRAPHY
THE CHILDREN'S AUTHOR WHO WROTE...,LITERATURE
CHANGE A LETTER,LANGUAGE & WORDS
METRO STATIONS,POTPOURRI & GENERAL
SITCOMS,MOVIES & TV
PROUST'S REMEMBRANCE OF SMELLS PAST,POTPOURRI & GENERAL
IT TAKES A VILLAGE,POTPOURRI & GENERAL
OPERA,MUSIC
I ACED MY BIOCHEM TEST,POTPOURRI & GENERAL
IT'S YOUR DIAMOND ANNIVERSARY,POTPOURRI & GENERAL
& THE OSCAR FOR ACTING GOES TO...,MOVIES & TV
"SPECIAL ""EFF""ECTS",POTPOURRI & GENERAL
BROADWAY PREMIERES,POTPOURRI & GENERAL
LANDLOCKED STATES BY CITIES,GEOGRAPHY
MINERALOGY,POTPOURRI & GENERAL
THAT FOOD IS FIRE,FOOD & DRINK
LETTER PERFECT,LANGUAGE & WORDS
COURT,POLITICS & GOVERNMENT
MARSHALL,POTPOURRI & GENERAL
ANCIENT PERSIA,HISTORY
IT AIN'T SHAKESPEARE,LITERATURE
SUBURBAN LEGEND,RELIGION & MYTHOLOGY
WE'VE GOT RIGHTS,POTPOURRI & GENERAL
"MOVIE & SONG, SAME TITLE",MOVIES & TV
JEOPORTMANTEAU!,FOOD & DRINK
TEXAS TECHNOLOGY,TECHNOLOGY
OUR NEANDERTHAL RELATIVES,POTPOURRI & GENERAL
SIGNS & SYMBOLS,POTPOURRI & GENERAL
THERE'S A BIRD IN YOUR RESPONSE,POTPOURRI & GENERAL
ARE WE HAVING FUN YET?,POTPOURRI & GENERAL
PICK A NICK,POTPOURRI & GENERAL
BASKETS,POTPOURRI & GENERAL
QUEEN STORY HOUR,LITERATURE
WORDS ABOUT WORDS,LANGUAGE & WORDS
ISLANDS,GEOGRAPHY
THE 1913 ARMORY SHOW,HISTORY
PROPERTY WATCHING,POTPOURRI & GENERAL
LITERARY NARRATORS,POTPOURRI & GENERAL
UNOFFICIAL STATE NICKNAMES,GEOGRAPHY
HOW DO YOU LIKE YOUR EGGS?,POTPOURRI & GENERAL
CALENDAR GROOVES,POTPOURRI & GENERAL
"BREAKING, THE NEWS",POTPOURRI & GENERAL
WOMEN IN THE BIBLE,RELIGION & MYTHOLOGY
"4, 4",POTPOURRI & GENERAL
MAY DAYS! MAY DAYS!,POTPOURRI & GENERAL
EMPTY WORDS,LANGUAGE & WORDS
EYE ON ASIA,POTPOURRI & GENERAL
INITIALED WRITERS,LITERATURE
TV CHARACTERS,MOVIES & TV
OLD MacDONALD HAD A WIND FARM,POTPOURRI & GENERAL
MOVIE DIRECTORS,MOVIES & TV
DOCTORED TELEVISION,MOVIES & TV
EVENTS OF 2005,HISTORY
THE INSTRUMENT OF MY FAME,MUSIC
WORDS THAT SHOULD RHYME,LANGUAGE & WORDS
THEY ALMOST TORE IT DOWN,POTPOURRI & GENERAL
IYKYK,POTPOURRI & GENERAL
CITIES AROUND THE WORLD,GEOGRAPHY
STAGE NAMES,POTPOURRI & GENERAL
HOW ABOUT A LITTLE SCIENCE?,SCIENCE
COUP LA LA,POTPOURRI & GENERAL
21st CENTURY FICTION,HISTORY
ALL THE WAY FROM L TO M,POTPOURRI & GENERAL
THE GRAMMYS,POTPOURRI & GENERAL
MY CUP RUNNETH OVER,POTPOURRI & GENERAL
OSCAR HOSTS,MOVIES & TV
METAPHORS BE WITH YOU,POTPOURRI & GENERAL
"HOWDY, NEIGHBOR!",POTPOURRI & GENERAL
JUST MOVED IN?,POTPOURRI & GENERAL
WE'RE THE CARP FAMILY,POTPOURRI & GENERAL
COLD WAR TIMES,HISTORY
IT'S A FACT,POTPOURRI & GENERAL
RHYMING SONG TITLES,MUSIC
NOVELS & NOVELISTS,LITERATURE
"STARTS & ENDS WITH ""D""",SCIENCE
FLAGS,POTPOURRI & GENERAL
WORD ORIGINS,LANGUAGE & WORDS
WHAT CENTURY?,HISTORY
"""BIG"" NICKNAMES",POTPOURRI & GENERAL
LAKES & RIVERS,GEOGRAPHY
EIGHTH NOTES,POTPOURRI & GENERAL
IN THE BANK,BUSINESS & ECONOMICS
9-LETTER WORDS,LANGUAGE & WORDS
LITERARY DRESS-UP,POTPOURRI & GENERAL
MOVIE TITLE ROLES,MOVIES & TV
FROM THYME TO TIME,WORDPLAY
WARS OF THE ROSES,HISTORY
"NEW YORK, NEW YORK",POTPOURRI & GENERAL
LANCASTER,MOVIES & TV
OFFICIAL LANGUAGES,LANGUAGE & WORDS
A LITTLE BIT OF LIT,POTPOURRI & GENERAL
BEAVER FEVER,POTPOURRI & GENERAL
4-LETTER SYNONYMS,LANGUAGE & WORDS
"""POP""-POURRI",MUSIC
RADIO,POTPOURRI & GENERAL
GOVERNORS,POLITICS & GOVERNMENT
"""A"" IS FOR CAPITAL",GEOGRAPHY
FROM THE BRONX,POTPOURRI & GENERAL
ECHO-NOMICS,POTPOURRI & GENERAL
FANCY A WORD?,LANGUAGE & WORDS
BOATS & SHIPS,POTPOURRI & GENERAL
STATE SONG LYRICS,GEOGRAPHY
A REAL PAIN,TECHNOLOGY
ENGLISH AS A THIRD LANGUAGE,LANGUAGE & WORDS
MOVIE EASTER EGGS,MOVIES & TV
FOR RENT,POTPOURRI & GENERAL
THE RICHES OF THE EMERSONIAN MIND,POTPOURRI & GENERAL
ALLITERATIVE AMERICA,POTPOURRI & GENERAL
CLOUD-POURRI,POTPOURRI & GENERAL
JOKING AROUND,POTPOURRI & GENERAL
"ENDS WITH ""END""",POTPOURRI & GENERAL
THE STAGE,POTPOURRI & GENERAL
STATELY GEOGRAPHIC,GEOGRAPHY
RELIGION,RELIGION & MYTHOLOGY
A VOWEL OF SILENCE,POTPOURRI & GENERAL
WINEMAKER'S GLOSSARY,FOOD & DRINK
EXERCISE YOUR...,POTPOURRI & GENERAL
DEMONS,POTPOURRI & GENERAL
HISTORIC BUILDINGS,HISTORY
SUN SONGS,MUSIC
ART COLLECTORS,ART & CULTURE
WORLD UNIVERSITIES,GEOGRAPHY
____ THE ____,POTPOURRI & GENERAL
BUSINESS & TELEVISION,MOVIES & TV
THE EMPIRE STRIKES BACK,HISTORY
ONE-TEAM PLAYERS,LITERATURE
SUFFIXES,LANGUAGE & WORDS
GOOD EATS,POTPOURRI & GENERAL
LEFTOVERS,POTPOURRI & GENERAL
AROUND THE WORLD,GEOGRAPHY
HER FIRST PUBLISHED NOVEL,LITERATURE
ANCIENT ARCHITECTURE,HISTORY
"""C.S."", I",POTPOURRI & GENERAL
NOT-QUITE-GRAMMY-WINNING SONGS OF THE YEAR,MUSIC
6-LETTER WORDS WITH 4 VOWELS,LANGUAGE & WORDS
QUOTABLE FICTIONAL CHARACTERS,LITERATURE
HOLDING SPACE,SCIENCE
"THE ""CO"" CO.",POTPOURRI & GENERAL
WONDERS,POTPOURRI & GENERAL
NEVER CEASE,POTPOURRI & GENERAL
THE 1970s,POTPOURRI & GENERAL
AMERICAN LAKES & RIVERS,GEOGRAPHY
SCIENCE & NATURE,SCIENCE
A COMPLETE UNKNOWN,POTPOURRI & GENERAL
DRINKING SONGS,MUSIC
"""MB"", EH?",POTPOURRI & GENERAL
CONTEMPORARY AUTHORS,LITERATURE
EXPLORERS,POTPOURRI & GENERAL
OCCUPATIONAL SONG TITLES,MUSIC
ABSOLUTE POWER,POTPOURRI & GENERAL
NOW YOU'RE COOKING,FOOD & DRINK
THE IMPATIENT 19th CENTURY READER,HISTORY
THE WIZARD OF OZ,POTPOURRI & GENERAL
RUBY SLIPPERS,POTPOURRI & GENERAL
WE'RE NOT IN KANSAS ANYMORE,POTPOURRI & GENERAL
& YOUR LITTLE DOG TOO,POTPOURRI & GENERAL
IF I ONLY HAD A BRAIN,TECHNOLOGY
"THERE'S NO PLACE LIKE ""HOME""",GEOGRAPHY
1990s BESTSELLERS,POTPOURRI & GENERAL
ANATOMICAL PHRASES,LANGUAGE & WORDS
18th CENTURY AMERICA,HISTORY
TV TITLE REFERENCES,MOVIES & TV
IN THE CARDS,POTPOURRI & GENERAL
FROM WHENCE THEY CAME,POTPOURRI & GENERAL
"""OK"", BOOMER",POTPOURRI & GENERAL
BLANK VERSE,POTPOURRI & GENERAL
MOVIE GENRES,MOVIES & TV
"OBJECTION, YOUR HONOR!",POTPOURRI & GENERAL
TRIPPING,POTPOURRI & GENERAL
THE LIGHT,POTPOURRI & GENERAL
FANTASTIC,POTPOURRI & GENERAL
BACK WHEN THE ANIMALS WERE YOUNG,SCIENCE
COMPOUND WORDS,LANGUAGE & WORDS
ALSO A CAR PART,ART & CULTURE
DIFFICULT BUT FUNNY TV CHARACTERS,MOVIES & TV
2024 IN THE REARVIEW MIRROR,HISTORY
MAKING SOME POUR DECISIONS,POTPOURRI & GENERAL
A PREMIERE MUSICAL EVENT,MUSIC
ACTORS BY THE FILMS THEY DIRECTED,MOVIES & TV
19th CENTURY LIT,HISTORY
"ENDS WITH ""A-G-E""",POTPOURRI & GENERAL
20th CENTURY HISTORY,HISTORY
"CHAT, GPS",POTPOURRI & GENERAL
FAST FOOD SLOGANS,FOOD & DRINK
QUITE A HEIST,POTPOURRI & GENERAL
SPORTS,SPORTS
"""RTH"" DAY",POTPOURRI & GENERAL
SECRETS OF THE PENGUINS,POTPOURRI & GENERAL
HOT SPOTS,POTPOURRI & GENERAL
MUSIC ON TV,MOVIES & TV
ANCIENT SYMBOLS,HISTORY
I'LL TAKE THAT ACTION,POTPOURRI & GENERAL
BIOGRAPHIES & MEMOIRS,POTPOURRI & GENERAL
IMAGES OF 2024,HISTORY
CELEBRITY GODPARENTS,RELIGION & MYTHOLOGY
STATE NICKNAMES,GEOGRAPHY
DISNEY DWARF ROLL CALL,HISTORY
MAKEUP THROUGH HISTORY,HISTORY
"""WA"", ""WA""!",POTPOURRI & GENERAL
SCIENCE FACTS,SCIENCE
ANAGRAMS,POTPOURRI & GENERAL
DEAR DIARY,POTPOURRI & GENERAL
"""X"" MEN",POTPOURRI & GENERAL
AFRICAN HISTORY,HISTORY
THAT'S SO GANGSTER (MOVIE),MOVIES & TV
THE WESTERN HEMISPHERE,POTPOURRI & GENERAL
OUR TOP STORY TONIGHT,LITERATURE
FOOD BRANDS,BUSINESS & ECONOMICS
ROUGHLY TURN OF THE CENTURY MUSIC,HISTORY
"""G"" IN THE MIDDLE",POTPOURRI & GENERAL
STAND,POTPOURRI & GENERAL
THE LIVER,POTPOURRI & GENERAL
AROUND THE PACIFIC,POTPOURRI & GENERAL
PREPOSITIONS IN BOOK TITLES,LITERATURE
THE ARTS,ART & CULTURE
NOTABLE WOMEN,POTPOURRI & GENERAL
MOVIE LOCALES,MOVIES & TV
6-LETTER VOCAB,LANGUAGE & WORDS
PRESIDENTIAL NOMINEES,HISTORY
"GAME OVER, MAN! IT'S GAME OVER!",SPORTS
SILVER,POTPOURRI & GENERAL
"WORDS ENDING IN ""B""",LANGUAGE & WORDS
COLLEGE ATHLETES,SPORTS
FLY,POTPOURRI & GENERAL
OFF THE SHELVES,POTPOURRI & GENERAL
THE VICE PRESIDENT WHO...,HISTORY
CANADIAN LAKES,GEOGRAPHY
TV ABBREVIATIONS & ACRONYMS,MOVIES & TV
GIVE US 2 WORDS,LANGUAGE & WORDS
FICTIONAL CHARACTERS,LITERATURE
THE BOOK OF THE DECADE,LITERATURE
BITE ME,POTPOURRI & GENERAL
BASEBALL,SPORTS
BIRD WORDS,LANGUAGE & WORDS
ODE ON A GRECIAN,POTPOURRI & GENERAL
EARN,POTPOURRI & GENERAL
IRISH FIRST NAMES,POTPOURRI & GENERAL
DUAL ROLES,POTPOURRI & GENERAL
GEOVERLAPS,POTPOURRI & GENERAL
BOOKS & WAR,HISTORY
SAME VOWEL PAIR TWICE,TECHNOLOGY
PIMP MY ACTINIDE,POTPOURRI & GENERAL
PLACES IN THE AMERICAN PAST,GEOGRAPHY
BODIES OF WATER,POTPOURRI & GENERAL
ALL THE AUGHTS,POTPOURRI & GENERAL
BONDS OF CRIMINALITY,POTPOURRI & GENERAL
WHAT'S IN YOUR WALLET?,POTPOURRI & GENERAL
FROM PAGE TO SCREEN,MOVIES & TV
OOPS! I ACCIDENTALLY TOOK THE SPANISH CROSSWORD,LANGUAGE & WORDS
"STARTS WITH ""SC""",SCIENCE
AUTHORS'REAL HOUSEWIVESTAGLINES,LITERATURE
THEWORLD ALMANAC2025,HISTORY
GOVERNMENT JOBS,POLITICS & GOVERNMENT
SPACEY TALK,SCIENCE
FAMOUS LAST LYRICS,MUSIC
CITY NICKNAMES,GEOGRAPHY
"IT ENDS WITH ""US""",POTPOURRI & GENERAL
CLASSIC NOVELS,LITERATURE
ELEMENTAL PHRASES,SCIENCE
SHAKIN' DAT AX,POTPOURRI & GENERAL
QUOTING THE TARANTINO FILM,MOVIES & TV
"OH, MARY!",POTPOURRI & GENERAL
GO FISH!,POTPOURRI & GENERAL
PRE-COLUMBIAN AMERICA,POTPOURRI & GENERAL
TV TITLE CHANGE A LETTER,MOVIES & TV
CENTENARIANS,POTPOURRI & GENERAL
"OH! THESE WORLD CITIES END IN ""O""",GEOGRAPHY
LET ME PAINT YOU A PICTURE,ART & CULTURE
CELEBRITY MOMS,POTPOURRI & GENERAL
GARDEN VARIETY IDIOMS,LANGUAGE & WORDS
TAKING A FLIGHT,POTPOURRI & GENERAL
I'LL GRAB A MAGAZINE,POTPOURRI & GENERAL
HERE'S HUDSON NEWS,POTPOURRI & GENERAL
BRITISH HISTORY,HISTORY
"""M""ISCELLANY",POTPOURRI & GENERAL
FOREIGN WORDS,LANGUAGE & WORDS
AUTHORS' ALMA MATERS,LITERATURE
A RIVER RUNS THROUGH IT: WORLD CAPITAL EDITION,GEOGRAPHY
TIME TRAVEL IS POSSIBLE!,WORDPLAY
SIBLINGS,POTPOURRI & GENERAL
CALIFORNIA HISTORY,HISTORY
MY SPORT IS MY NICKNAME,SPORTS
MYSTERY LOVES COMPANY,BUSINESS & ECONOMICS
GAMES,SPORTS
GOING TO PIECES,POTPOURRI & GENERAL
THERE'S NO A IN COUNTRY,GEOGRAPHY
A BRIEF MEDICAL TALK,POTPOURRI & GENERAL
THE SINGLE LIFE,POTPOURRI & GENERAL
LATIN CLASS,LANGUAGE & WORDS
ECONOMICS,POTPOURRI & GENERAL
"""WITH"" OR ""WITHOUT""",POTPOURRI & GENERAL
WORLD MUSEUMS,GEOGRAPHY
STATE FACTS,GEOGRAPHY
A 2000-ERA MALL RAT,POTPOURRI & GENERAL
BIBLICAL ART,ART & CULTURE
"IN THE 3 ""G"" NETWORK",POTPOURRI & GENERAL
SPECIFIC POTPOURRI,POTPOURRI & GENERAL
CLICKBAIT GOES TO THE MOVIES,MOVIES & TV
AUTHORS' APPEARANCES,LITERATURE
LONG SONG TITLES,MUSIC
OUR GREEN PLANET,SCIENCE
11-LETTER WORDS,LANGUAGE & WORDS
"PAST, THE DUCHY",POTPOURRI & GENERAL
ON THE LEFT HAND SIDE,POTPOURRI & GENERAL
TALK O' TUESDAY,POTPOURRI & GENERAL
BEGINNING WORDS,LANGUAGE & WORDS
WATERFALLS,POTPOURRI & GENERAL
BACK IN THE SADDLE AGAIN,TECHNOLOGY
CHAPTER,POTPOURRI & GENERAL
VERSE,POTPOURRI & GENERAL
SCIENTIFIC LAW REVIEW,POLITICS & GOVERNMENT
NOT GOING ANYWHERE,POTPOURRI & GENERAL
TV ROLES,MOVIES & TV
THE NATIONAL ROAD,GEOGRAPHY
DITCH THE X,POTPOURRI & GENERAL
HONORS,POTPOURRI & GENERAL
NAMELESS IN SHAKESPEARE,LITERATURE
"GANG ""WAY""",POTPOURRI & GENERAL
"EAR, EAR",POTPOURRI & GENERAL
MOVIE TITLE FILL IN THE BLANK,MOVIES & TV
FINE,POTPOURRI & GENERAL
DANDY,POTPOURRI & GENERAL
MALICE IN WONDERLAND,POTPOURRI & GENERAL
MEDIEVAL HISTORIES,HISTORY
SCRABBLE SCORES,SPORTS
HABITATS FOR HUMANITY,POTPOURRI & GENERAL
"ON THE ""M""AP",POTPOURRI & GENERAL
HER MOM'S A SINGER,MUSIC
AMERICAN LITERATURE,LITERATURE
AVIATION HISTORY,HISTORY
MOVIE & TV ROLES,MOVIES & TV
2-WORD U.S. CITIES,GEOGRAPHY
ANNUAL EVENTS,POTPOURRI & GENERAL
"THIS MEANS ""WAR""",HISTORY
SOUTH AFRICAN HISTORY,HISTORY
VAN'S THE MAN,POTPOURRI & GENERAL
ALBUMS,MUSIC
SKILL SET,POTPOURRI & GENERAL
YOUR VERB FORM IS MOST IRREGULAR,POTPOURRI & GENERAL
THE NOBEL PRIZES,POTPOURRI & GENERAL
"'ALLO, GUV'NAH",POTPOURRI & GENERAL
COMPLETE THE BRITISH TV PROGRAMME TITLE,MOVIES & TV
ANATOMY CLASS,SCIENCE
JAVA FACTS,POTPOURRI & GENERAL
5-SYLLABLE WORDS,LANGUAGE & WORDS
"TELL ME A STORY, QUICKLY",LITERATURE
HISTORY IN THE MAKING,HISTORY
STRAIT EDGE,TECHNOLOGY
KNOWN BY THEIR INITIALS,POTPOURRI & GENERAL
TAKE THE LONG WAY,POTPOURRI & GENERAL
MOVIE MUSICALS,MOVIES & TV
"RISING FROM THE ""GRAVE""",POTPOURRI & GENERAL
LET'S GET PACT,POTPOURRI & GENERAL
COMMON BOND CUISINE,FOOD & DRINK
7-LETTER WORDS,LANGUAGE & WORDS
PLACING THE SONG,MUSIC
I LOVE YOU,POTPOURRI & GENERAL
TO THE MOON & BACK,POTPOURRI & GENERAL
PUNCTUATION,POTPOURRI & GENERAL
FAREWELL TO FRANCE,POTPOURRI & GENERAL
WITHOUT A PADDLE,POTPOURRI & GENERAL
BRITISH MONARCHS ON FILM,MOVIES & TV
THE DEAD NEVER SLEEP,POTPOURRI & GENERAL
21st CENTURY TELEVISION,HISTORY
THE OLD WEST,POTPOURRI & GENERAL
ALL PAULS,POTPOURRI & GENERAL
MASCOT MANIA,POTPOURRI & GENERAL
FILM CAMEOS,MOVIES & TV
WORDS WITHIN WORDS,LANGUAGE & WORDS
SOMETHING TO SNEEZE AT,POTPOURRI & GENERAL
"GEOGRAPH""E""",POTPOURRI & GENERAL
NEW TO THEOED,POTPOURRI & GENERAL
BIOLOGY,SCIENCE
I DON'T FEEL SEEN,POTPOURRI & GENERAL
SONGS FROM THE HIT ALBUM,MUSIC
A LITTLE CAUSE PLAY,LITERATURE
ITALIAN HISTORY,HISTORY
FLORENCE + THE SIMPLE MACHINE,POTPOURRI & GENERAL
COUNTRY MUSIC HISTORY,HISTORY
CONSTITUTIONAL AMENDMENTS,POLITICS & GOVERNMENT
I GOT ME A CAR,POTPOURRI & GENERAL
IT'S AS BIG AS A WHALE,POTPOURRI & GENERAL
BIRTH OF A NATION,POTPOURRI & GENERAL
20th CENTURY NOVELS,HISTORY
GETTING RELIGION,RELIGION & MYTHOLOGY
"TYPE ""A.B."": NEGATIVE OR POSITIVE",POTPOURRI & GENERAL
NEPO PARENTS,POTPOURRI & GENERAL
OXYMORONS,POTPOURRI & GENERAL
COMMUNICATION,POTPOURRI & GENERAL
U.S. GEOGRAPHY,GEOGRAPHY
BOOK TITLE ADJECTIVES,LITERATURE
SOMETHING TO WEAR,POTPOURRI & GENERAL
YOUR NAME IS A SENTENCE,POTPOURRI & GENERAL
ON THE SIDE OF THE ANGELS,POTPOURRI & GENERAL
MODERN LINGO,POTPOURRI & GENERAL
IN THE 19th CENTURY,HISTORY
POP CULTURE TITLES IN ROMAN NUMERALS,MUSIC
BUSINESS TERMS,BUSINESS & ECONOMICS
"WELL, THAT'S JUST SCIENCE",SCIENCE
"FROM ""M"" TO ""M""",POTPOURRI & GENERAL
GEOGRAPHIC NEIGHBORS,POTPOURRI & GENERAL
THE BAY AREA,POTPOURRI & GENERAL
BIBLE FILL IN THE BLANK,RELIGION & MYTHOLOGY
"PASS THE ""OX""",POTPOURRI & GENERAL
AT THE MALL,POTPOURRI & GENERAL
HOT TOPIC,POTPOURRI & GENERAL
DICK'S SPORTING: GOOD,SPORTS
AFTER THE WHITE HOUSE,WORDPLAY
GRAINS OF SALT,TECHNOLOGY
"""-ED"" CREATURES",POTPOURRI & GENERAL
FROM THE GREEK,LANGUAGE & WORDS
GOOD READS,POTPOURRI & GENERAL
CELEBRITY FIRST NAME GAME,SPORTS
LANDMARKS,GEOGRAPHY
FROM THEIRNEW YORK TIMESOBITUARY,WORDPLAY
KID LIT,POTPOURRI & GENERAL
DOUBLE TALK,POTPOURRI & GENERAL
BE MY TV SHOW GUEST,MOVIES & TV
HAT TRICKS,POTPOURRI & GENERAL
CAN I GET AN AMENDMENT?,POTPOURRI & GENERAL
"""I"" ON THE MAP",GEOGRAPHY
BIG SCREEN BASEBALL BRIEFLY,MOVIES & TV
FOSSIL FUELED,POTPOURRI & GENERAL
LION AROUND,POTPOURRI & GENERAL
FAMOUS PRO-SEMITES,QUOTES & PHRASES
SEAFARING BRITS,POTPOURRI & GENERAL
MOUNTAINS,GEOGRAPHY
HIPPO-POURRI,POTPOURRI & GENERAL
QUOTING THE FILM,MOVIES & TV
MIX -OLOGY,POTPOURRI & GENERAL
BUSINESS,BUSINESS & ECONOMICS
BEFORE PLEASURE,WORDPLAY
"THEN, VOYAGER",POTPOURRI & GENERAL
2-WORD PHRASES,LANGUAGE & WORDS
ART HISTORY,HISTORY
WOMEN ON TV,MOVIES & TV
PLEAD THE 5th,POTPOURRI & GENERAL
POETIC PLACES,GEOGRAPHY
MIGRATIONS,POTPOURRI & GENERAL
TV SLEUTHING,MOVIES & TV
THE LATE 1940s,POTPOURRI & GENERAL
A SITE FOR MORE EYES,POTPOURRI & GENERAL
10-LETTER WORDS,LANGUAGE & WORDS
CYBERSECURITY,POTPOURRI & GENERAL
ALSO A MUSICAL INSTRUMENT,MUSIC
ABBREV.,POTPOURRI & GENERAL
BILLS OF MORTALITY FOR 17th C. LONDON,POTPOURRI & GENERAL
